,Username,Repository Name,Repository URL,Main.java URL,commit_count,complexity
0,iluwatar,java-design-patterns,https://github.com/iluwatar/java-design-patterns,https://github.com/iluwatar/java-design-patterns/blob/72f7fcab0ea5677e39a8cc064e1c69527a0c309c/monitor/src/main/java/com/iluwatar/monitor/Main.java,4,10
1,projectlombok,lombok,https://github.com/projectlombok/lombok,https://github.com/projectlombok/lombok/blob/000ce6d19a3d4a7d8c88ffa51e47ffda2a3b2c79/src/core/lombok/core/Main.java,14,18
2,apache,spark,https://github.com/apache/spark,https://github.com/apache/spark/blob/8e60a04d19ed7b1d340eb7fb068df365f7969b43/launcher/src/main/java/org/apache/spark/launcher/Main.java,9,10
3,apache,dubbo,https://github.com/apache/dubbo,https://github.com/apache/dubbo/blob/b39a1e82e1a1b9bd018405e54d5680b0d587f519/dubbo-container/dubbo-container-api/src/main/java/org/apache/dubbo/container/Main.java,9,6
4,Learning-4ever,java-design-patterns,https://github.com/Learning-4ever/java-design-patterns,https://github.com/Learning-4ever/java-design-patterns/blob/9d7b9a85fde8492e05d4e0ab0ce2070bf9718959/monitor/src/main/java/com/iluwatar/monitor/Main.java,4,10
5,a0x8o,spark,https://github.com/a0x8o/spark,https://github.com/a0x8o/spark/blob/c75549c5e58e72d6a4d354640ed6a86cab5c7651/launcher/src/main/java/org/apache/spark/launcher/Main.java,2,10
6,ep-infosec,33_apache_spark,https://github.com/ep-infosec/33_apache_spark,https://github.com/ep-infosec/33_apache_spark/blob/fa7b1a1deeeafcc8052688fb8e12c08aae603632/launcher/src/main/java/org/apache/spark/launcher/Main.java,1,10
7,pestoura,Apache-Spark,https://github.com/pestoura/Apache-Spark,https://github.com/pestoura/Apache-Spark/blob/11c9838283e98d5ebe6ce13b85e26217494feef2/launcher/src/main/java/org/apache/spark/launcher/Main.java,9,10
8,ep-infosec,33_apache_dubbo,https://github.com/ep-infosec/33_apache_dubbo,https://github.com/ep-infosec/33_apache_dubbo/blob/176a66927902243b1d3c21eb8a1cadcdad171ca5/dubbo-container/dubbo-container-api/src/main/java/org/apache/dubbo/container/Main.java,1,6
9,momo-tong,dubbo-3.1.4,https://github.com/momo-tong/dubbo-3.1.4,https://github.com/momo-tong/dubbo-3.1.4/blob/0adcff7724c0d4cc87273964a21cd3004d28df1c/org/apache/dubbo/container/Main.java,1,6
10,strimzi,strimzi-kafka-operator,https://github.com/strimzi/strimzi-kafka-operator,https://github.com/strimzi/strimzi-kafka-operator/blob/c22dbd335eb0dc1eb07210ebcf3f06644eada60c/user-operator/src/main/java/io/strimzi/operator/user/Main.java,49,16
11,prevayler,prevayler,https://github.com/prevayler/prevayler,https://github.com/prevayler/prevayler/blob/f52736da5a2d7d87ef7a5cc4c2d0597df535b1cc/spikes/socketServer/src/main/java/org/prevayler/socketserver/server/Main.java,2,3
12,javalite,jar-explorer,https://github.com/javalite/jar-explorer,https://github.com/javalite/jar-explorer/blob/456390f4ea40956003b0f23d304ca6fdee1acf6b/src/main/java/javad/main.java,1,1
13,GoogleCloudPlatform,java-docs-samples,https://github.com/GoogleCloudPlatform/java-docs-samples,https://github.com/GoogleCloudPlatform/java-docs-samples/blob/f9a8e5d6fb03878afba0643ec23a68cb82590935/flexible/java-11/websocket-jetty/src/main/java/com/example/flexible/websocket/jettynative/Main.java,1,32
14,google,j2cl,https://github.com/google/j2cl,https://github.com/google/j2cl/blob/4c629d9a2c2a87343b3e78b9fae2a6fa43a6d627/transpiler/javatests/com/google/j2cl/integration/java/instancejsmethods/Main.java,1,24
15,apple,servicetalk,https://github.com/apple/servicetalk,https://github.com/apple/servicetalk/blob/f1e724db1b3f235e5b0acd2e5f2094f591f506c8/servicetalk-grpc-protoc/src/main/java/io/servicetalk/grpc/protoc/Main.java,8,6
16,ArduPilot,OMC,https://github.com/ArduPilot/OMC,https://github.com/ArduPilot/OMC/blob/466fd5b0cad7d779d26c7a0a1b1785fcb75470e9/toolchain/cssconv/src/main/java/org/cssconv/Main.java,1,9
17,jcmvbkbc,gcc-xtensa,https://github.com/jcmvbkbc/gcc-xtensa,https://github.com/jcmvbkbc/gcc-xtensa/blob/a0936f8b396491bc7894c8bc5e80971cc9138e94/libjava/classpath/tools/gnu/classpath/tools/rmic/Main.java,5,22
18,boo-lang,boo,https://github.com/boo-lang/boo,https://github.com/boo-lang/boo/blob/bc0aa51531bed5b60e557f1a3a9030bb8659f47d/lib/antlr-2.7.5/examples/java/java/Main.java,1,16
19,Gyoonus,deoptfuscator,https://github.com/Gyoonus/deoptfuscator,https://github.com/Gyoonus/deoptfuscator/blob/b63a9be018821e410194e9751548b5c68f1bd6db/android/art/tools/ahat/src/main/com/android/ahat/Main.java,1,7
20,openjdk,asmtools,https://github.com/openjdk/asmtools,https://github.com/openjdk/asmtools/blob/e27a8aaad0e34234bdef593ccd6a1c5657229fcc/src/org/openjdk/asmtools/jcdec/Main.java,2,149
21,microstream-one,microstream,https://github.com/microstream-one/microstream,https://github.com/microstream-one/microstream/blob/f4a2487d4e960d6ae246a6e05956ff00c9a130fc/examples/blobs/src/main/java/one/microstream/examples/blobs/Main.java,3,7
22,GoldenGnu,jeveassets,https://github.com/GoldenGnu/jeveassets,https://github.com/GoldenGnu/jeveassets/blob/262dc79e2d4612125438ec3c46eb755f224b2255/src/main/java/net/nikr/eve/jeveasset/Main.java,100,13
23,vespa-engine,vespa,https://github.com/vespa-engine/vespa,https://github.com/vespa-engine/vespa/blob/b8fd1760006676638e71d824174e757ecb2fe662/jdisc_core/src/main/java/com/yahoo/jdisc/core/Main.java,9,2
24,ULYSSIS-KUL,ipp,https://github.com/ULYSSIS-KUL/ipp,https://github.com/ULYSSIS-KUL/ipp/blob/9eaecce5e2e72a5e756fda20fb723e6c63d61741/Reader/src/main/java/org/ulyssis/ipp/reader/Main.java,6,4
25,UTHealth-CCB,Medex,https://github.com/UTHealth-CCB/Medex,https://github.com/UTHealth-CCB/Medex/blob/aa19558ece2e3a2922fc6675b09e56a24aa24ab3/src/org/apache/medex/Main.java,1,4
26,azakhary,overlap3d,https://github.com/azakhary/overlap3d,https://github.com/azakhary/overlap3d/blob/019734e08e295e38627efbdb31e03c13878edf9c/overlap3d/src/com/uwsoft/editor/Main.java,1,26
27,jutanke,ALP3Aufgaben,https://github.com/jutanke/ALP3Aufgaben,https://github.com/jutanke/ALP3Aufgaben/blob/045cb4d29ce1c05daa6d3be76a2b07aeefee18b4/src/ab2/aufgabe1/a/main.java,6,3
28,ceylon,ceylon-compiler,https://github.com/ceylon/ceylon-compiler,https://github.com/ceylon/ceylon-compiler/blob/f231731af6c96a35e14d4486d194a6da50dba404/src/com/redhat/ceylon/compiler/java/launcher/Main.java,29,19
29,helidon-io,helidon,https://github.com/helidon-io/helidon,https://github.com/helidon-io/helidon/blob/771471e60cdc5f43ea0be01bb9851208abffe999/examples/webserver/threadpool/src/main/java/io/helidon/examples/webserver/threadpool/Main.java,2,1
30,qwazer,scheme2ddl,https://github.com/qwazer/scheme2ddl,https://github.com/qwazer/scheme2ddl/blob/44041ef857b445ea18a4f94fba67a78227b90202/src/main/java/com/googlecode/scheme2ddl/Main.java,30,46
31,openjdk-mirror,jdk7u-jdk,https://github.com/openjdk-mirror/jdk7u-jdk,https://github.com/openjdk-mirror/jdk7u-jdk/blob/f4d80957e89a19a29bb9f9807d2a28351ed7f7df/src/share/classes/sun/tools/native2ascii/Main.java,4,25
32,buckyroberts,Source-Code-from-Tutorials,https://github.com/buckyroberts/Source-Code-from-Tutorials,https://github.com/buckyroberts/Source-Code-from-Tutorials/blob/da028c4389f3f41f18992f6e800c9c1c84e322a9/JavaFX/010_extractAndValidateInput/Main.java,3,8
33,TricksterOnline,TNT,https://github.com/TricksterOnline/TNT,https://github.com/TricksterOnline/TNT/blob/686b2b418d14a8620dab0ddc96f6718bee62dc60/src/Main.java,7,16
34,daveho,CloudCoder,https://github.com/daveho/CloudCoder,https://github.com/daveho/CloudCoder/blob/85bcb264262ec9c24b77b1458161536e58ac66eb/CloudCoderLoadTester/src/org/cloudcoder/app/loadtester/Main.java,19,24
35,AdoptOpenJDK,jsplitpkgscan,https://github.com/AdoptOpenJDK/jsplitpkgscan,https://github.com/AdoptOpenJDK/jsplitpkgscan/blob/6c62971fb80ae8c7401d5c7cf583c5f67b375488/src/main/java/jdk/jsplitpkgscan/Main.java,1,4
36,eth-sri,soltix,https://github.com/eth-sri/soltix,https://github.com/eth-sri/soltix/blob/df9840622c4321b3f4641da559a01470c9325f26/soltix/src/main/java/soltix/Main.java,1,2
37,leosanqing,Java-Notes,https://github.com/leosanqing/Java-Notes,https://github.com/leosanqing/Java-Notes/blob/f056436a858dc25fb532d05b1c17a245e62eb941/designPattern/src/com/leosanqing/decorator/Main.java,1,6
38,flexiblepower,defpi-core,https://github.com/flexiblepower/defpi-core,https://github.com/flexiblepower/defpi-core/blob/8086829d9457e865b712019c9b656962fe617ebb/orchestrator/src/main/java/org/flexiblepower/orchestrator/Main.java,29,4
39,SCI2SUGR,KEEL,https://github.com/SCI2SUGR/KEEL,https://github.com/SCI2SUGR/KEEL/blob/5f404a9470f17528445baabe3a5d9f5202adee7a/src/keel/Algorithms/Fuzzy_Rule_Learning/Genetic/ClassifierFuzzySGERD/Main.java,7,6
40,AndroidIDEOfficial,AndroidIDE,https://github.com/AndroidIDEOfficial/AndroidIDE,https://github.com/AndroidIDEOfficial/AndroidIDE/blob/fa0aef12d25542070eb719568ae5d0ecbe8d62a2/subprojects/jdk-jdeps/src/main/java/openjdk/tools/javap/Main.java,1,4
41,SCI2SUGR,KEEL,https://github.com/SCI2SUGR/KEEL,https://github.com/SCI2SUGR/KEEL/blob/5f404a9470f17528445baabe3a5d9f5202adee7a/src/keel/Algorithms/ImbalancedClassification/ImbalancedAlgorithms/GP_COACH_H/Main.java,2,52
42,qtjambi,qtjambi,https://github.com/qtjambi/qtjambi,https://github.com/qtjambi/qtjambi/blob/8ef99da63315945e6ab540cc31d66e5b021b69e4/doc/src/snippets/qdir-listfiles/main.java,3,4
43,PMaynard,ICS-TestBed-Framework,https://github.com/PMaynard/ICS-TestBed-Framework,https://github.com/PMaynard/ICS-TestBed-Framework/blob/6d30aba89bf2a60428a107e86b9863ea34001aad/node/src/main/java/xyz/scada/testbed/node/Main.java,1,15
44,AdoptOpenJDK,openjdk-jdk,https://github.com/AdoptOpenJDK/openjdk-jdk,https://github.com/AdoptOpenJDK/openjdk-jdk/blob/9d8ad2ed62325bd8d813974d5aa1e031ed8bf8da/src/jdk.compiler/share/classes/com/sun/tools/javac/launcher/Main.java,9,18
45,benjaminpick,java-thumbnailer,https://github.com/benjaminpick/java-thumbnailer,https://github.com/benjaminpick/java-thumbnailer/blob/12c6d926273fd5e37715d4e123e0d4fa8538a7e1/src/de/uni_siegen/wineme/come_in/thumbnailer/Main.java,7,27
46,CurryYuan,Practical-Training,https://github.com/CurryYuan/Practical-Training,https://github.com/CurryYuan/Practical-Training/blob/24b0b26924536884d4afc82580e103845ce97728/jigsaw_code/src/judge/main.java,1,12
47,svn2github,vuze,https://github.com/svn2github/vuze,https://github.com/svn2github/vuze/blob/54aa4a3f85a0e08fc84911634ff70b2f658857cf/trunk/azureus2/src/org/gudy/azureus2/ui/none/Main.java,2,5
48,abhinavsinha1223,oibsip_task3,https://github.com/abhinavsinha1223/oibsip_task3,https://github.com/abhinavsinha1223/oibsip_task3/blob/224f75e5d88e8237970bde4604c2b811009ceb21/ATM%20INTERFACE/src/mainClass.java,0,11
49,openjdk,jtharness,https://github.com/openjdk/jtharness,https://github.com/openjdk/jtharness/blob/31109d8a6ecfd6bb25d84fc26d6bcdda9f24e4cc/src/com/sun/javatest/tool/Main.java,26,55
50,shford,cs330-f20-pex0,https://github.com/shford/cs330-f20-pex0,https://github.com/shford/cs330-f20-pex0/blob/e5e9a03b41e3f8af791626a89dab4516c2e320ac/src/main.java,1,11
51,ernvalentino88,OMAassignment,https://github.com/ernvalentino88/OMAassignment,https://github.com/ernvalentino88/OMAassignment/blob/b1e887d6c10636f15c3960d33062cf49d9c723ac/solverVRP_ernesto/src/main/java/jsprit/examples/main.java,1,5
52,stephanrauh,JSF-on-Spring-Boot,https://github.com/stephanrauh/JSF-on-Spring-Boot,https://github.com/stephanrauh/JSF-on-Spring-Boot/blob/aa891cf050957953a6462b9f8943715baad6e807/PrimeFacesJSR303OnSpringBoot/src/main/java/de/beyondjava/main/Main.java,1,2
53,iSECPartners,package-play,https://github.com/iSECPartners/package-play,https://github.com/iSECPartners/package-play/blob/0cd9fed41ec87b7c6a780edbff51d2d339c1f8a3/src/com/isecpartners/android/packageplay/Main.java,2,3
54,OroArmor,java-vulkan,https://github.com/OroArmor/java-vulkan,https://github.com/OroArmor/java-vulkan/blob/652f290226e39552c63779d182d03e9750a9f304/src/main/java/com/oroarmor/vulkan/Main.java,2,3
55,kruland2607,RocketTrack,https://github.com/kruland2607/RocketTrack,https://github.com/kruland2607/RocketTrack/blob/22a67684d3d331087d5eb1f6cd3b021a6b74d337/src/org/rockettrack/Main.java,27,23
