Name,Owner,URL,Commits
Android-Tips,tangqi92,https://github.com/tangqi92/Android-Tips,144
IJPay,Javen205,https://github.com/Javen205/IJPay,706
JCSprout,crossoverJie,https://github.com/crossoverJie/JCSprout,709
java-design-patterns,iluwatar,https://github.com/iluwatar/java-design-patterns,3454
javacpp-presets,bytedeco,https://github.com/bytedeco/javacpp-presets,1594
disruptor,LMAX-Exchange,https://github.com/LMAX-Exchange/disruptor,1324
kotlin,JetBrains,https://github.com/JetBrains/kotlin,101238
guava,google,https://github.com/google/guava,6056
selenium,SeleniumHQ,https://github.com/SeleniumHQ/selenium,29671
jacoco,jacoco,https://github.com/jacoco/jacoco,1793
engine,flutter,https://github.com/flutter/engine,34295
simplify,CalebFenton,https://github.com/CalebFenton/simplify,915
effective-java-3e-source-code,jbloch,https://github.com/jbloch/effective-java-3e-source-code,10
jOOQ,jOOQ,https://github.com/jOOQ/jOOQ,12230
google-research,google-research,https://github.com/google-research/google-research,3982
jruby,jruby,https://github.com/jruby/jruby,52371
jpexs-decompiler,jindrapetrik,https://github.com/jindrapetrik/jpexs-decompiler,6602
Source-Code-from-Tutorials,buckyroberts,https://github.com/buckyroberts/Source-Code-from-Tutorials,215
go-lang-idea-plugin,go-lang-plugin-org,https://github.com/go-lang-plugin-org/go-lang-idea-plugin,3588
intellij-community,JetBrains,https://github.com/JetBrains/intellij-community,86880
bazel,bazelbuild,https://github.com/bazelbuild/bazel,0
soot,soot-oss,https://github.com/soot-oss/soot,7127
botnets,maestron,https://github.com/maestron/botnets,4
NewsBlur,samuelclay,https://github.com/samuelclay/NewsBlur,16748
DSA-Bootcamp-Java,kunal-kushwaha,https://github.com/kunal-kushwaha/DSA-Bootcamp-Java,813
sbt,sbt,https://github.com/sbt/sbt,11770
elasticsearch,elastic,https://github.com/elastic/elasticsearch,68776
hudi,apache,https://github.com/apache/hudi,4194
checkstyle,checkstyle,https://github.com/checkstyle/checkstyle,12342
alluxio,Alluxio,https://github.com/Alluxio/alluxio,33761
cat,dianping,https://github.com/dianping/cat,7410
opentsdb,OpenTSDB,https://github.com/OpenTSDB/opentsdb,1684
Peergos,Peergos,https://github.com/Peergos/Peergos,5180
bgslibrary,andrewssobral,https://github.com/andrewssobral/bgslibrary,298
LuaViewSDK,alibaba,https://github.com/alibaba/LuaViewSDK,1827
keycloak,keycloak,https://github.com/keycloak/keycloak,21969
graal,oracle,https://github.com/oracle/graal,74350
quarkus,quarkusio,https://github.com/quarkusio/quarkus,38260
ZjDroid,halfkiss,https://github.com/halfkiss/ZjDroid,6
jvm,doocs,https://github.com/doocs/jvm,135
the-algorithm,twitter,https://github.com/twitter/the-algorithm,26
flink-learning,zhisheng17,https://github.com/zhisheng17/flink-learning,446
LeetCode,yuanguangxin,https://github.com/yuanguangxin/LeetCode,163
bisq,bisq-network,https://github.com/bisq-network/bisq,17428
im-server,wildfirechat,https://github.com/wildfirechat/im-server,2233
java-developer-roadmap,s4kibs4mi,https://github.com/s4kibs4mi/java-developer-roadmap,13
web-frameworks,the-benchmarker,https://github.com/the-benchmarker/web-frameworks,4308
buck,facebook,https://github.com/facebook/buck,22696
fitnesse,unclebob,https://github.com/unclebob/fitnesse,6026
chromium,chromium,https://github.com/chromium/chromium,149970
traccar,traccar,https://github.com/traccar/traccar,7958
LSPosed,LSPosed,https://github.com/LSPosed/LSPosed,2696
v9porn,techGay,https://github.com/techGay/v9porn,133
openjdk-jdk,AdoptOpenJDK,https://github.com/AdoptOpenJDK/openjdk-jdk,64673
Java,gaopu,https://github.com/gaopu/Java,55
VirusBroadcast,KikiLetGo,https://github.com/KikiLetGo/VirusBroadcast,48
graylog2-server,Graylog2,https://github.com/Graylog2/graylog2-server,22091
node-jvm,YaroslavGaponov,https://github.com/YaroslavGaponov/node-jvm,203
SpringBoot-Labs,yudaocode,https://github.com/yudaocode/SpringBoot-Labs,678
tinker,Tencent,https://github.com/Tencent/tinker,815
h2database,h2database,https://github.com/h2database/h2database,14160
pentaho-kettle,pentaho,https://github.com/pentaho/pentaho-kettle,23141
questdb,questdb,https://github.com/questdb/questdb,4100
Java8InAction,java8,https://github.com/java8/Java8InAction,61
rhino,mozilla,https://github.com/mozilla/rhino,4154
clojure,clojure,https://github.com/clojure/clojure,3443
my-site,WinterChenS,https://github.com/WinterChenS/my-site,143
tutorials,eugenp,https://github.com/eugenp/tutorials,150
gerrit,GerritCodeReview,https://github.com/GerritCodeReview/gerrit,0
javamelody,javamelody,https://github.com/javamelody/javamelody,0
chineseocr_lite,DayBreak-u,https://github.com/DayBreak-u/chineseocr_lite,0
FrameworkBenchmarks,TechEmpower,https://github.com/TechEmpower/FrameworkBenchmarks,0
codeql,github,https://github.com/github/codeql,0
MinecraftForge,MinecraftForge,https://github.com/MinecraftForge/MinecraftForge,0
h2o-2,h2oai,https://github.com/h2oai/h2o-2,0
Android-Cookbook-Examples,IanDarwin,https://github.com/IanDarwin/Android-Cookbook-Examples,0
